Date Retail,Year Retail,Quarter Retail,Month Number Retail,Week Retail,Month Name Retail,Week Number of Month Retail
11/24/14 0:00,2014,4,10,43,Nov,4
11/25/14 0:00,2014,4,10,43,Nov,4
11/26/14 0:00,2014,4,10,43,Nov,4
11/27/14 0:00,2014,4,10,43,Nov,4
11/28/14 0:00,2014,4,10,43,Nov,4
11/29/14 0:00,2014,4,10,43,Nov,4
11/30/14 0:00,2014,4,11,44,Dec,1
12/1/14 0:00,2014,4,11,44,Dec,1
12/2/14 0:00,2014,4,11,44,Dec,1
12/3/14 0:00,2014,4,11,44,Dec,1
12/4/14 0:00,2014,4,11,44,Dec,1
12/5/14 0:00,2014,4,11,44,Dec,1
12/6/14 0:00,2014,4,11,44,Dec,1
12/7/14 0:00,2014,4,11,45,Dec,2
12/8/14 0:00,2014,4,11,45,Dec,2
12/9/14 0:00,2014,4,11,45,Dec,2
12/10/14 0:00,2014,4,11,45,Dec,2
12/11/14 0:00,2014,4,11,45,Dec,2
12/12/14 0:00,2014,4,11,45,Dec,2
12/13/14 0:00,2014,4,11,45,Dec,2
12/14/14 0:00,2014,4,11,46,Dec,3
12/15/14 0:00,2014,4,11,46,Dec,3
12/16/14 0:00,2014,4,11,46,Dec,3
12/17/14 0:00,2014,4,11,46,Dec,3
12/18/14 0:00,2014,4,11,46,Dec,3
12/19/14 0:00,2014,4,11,46,Dec,3
12/20/14 0:00,2014,4,11,46,Dec,3
12/21/14 0:00,2014,4,11,47,Dec,4
12/22/14 0:00,2014,4,11,47,Dec,4
12/23/14 0:00,2014,4,11,47,Dec,4
12/24/14 0:00,2014,4,11,47,Dec,4
12/25/14 0:00,2014,4,11,47,Dec,4
12/26/14 0:00,2014,4,11,47,Dec,4
12/27/14 0:00,2014,4,11,47,Dec,4
12/28/14 0:00,2014,4,11,48,Dec,5
12/29/14 0:00,2014,4,11,48,Dec,5
12/30/14 0:00,2014,4,11,48,Dec,5
12/31/14 0:00,2014,4,11,48,Dec,5
1/1/15 0:00,2014,4,11,48,Dec,5
1/2/15 0:00,2014,4,11,48,Dec,5
1/3/15 0:00,2014,4,11,48,Dec,5
1/4/15 0:00,2014,4,12,49,Jan,1
1/5/15 0:00,2014,4,12,49,Jan,1
1/6/15 0:00,2014,4,12,49,Jan,1
1/7/15 0:00,2014,4,12,49,Jan,1
1/8/15 0:00,2014,4,12,49,Jan,1
1/9/15 0:00,2014,4,12,49,Jan,1
1/10/15 0:00,2014,4,12,49,Jan,1
1/11/15 0:00,2014,4,12,50,Jan,2
1/12/15 0:00,2014,4,12,50,Jan,2
1/13/15 0:00,2014,4,12,50,Jan,2
1/14/15 0:00,2014,4,12,50,Jan,2
1/15/15 0:00,2014,4,12,50,Jan,2
1/16/15 0:00,2014,4,12,50,Jan,2
1/17/15 0:00,2014,4,12,50,Jan,2
1/18/15 0:00,2014,4,12,51,Jan,3
1/19/15 0:00,2014,4,12,51,Jan,3
1/20/15 0:00,2014,4,12,51,Jan,3
1/21/15 0:00,2014,4,12,51,Jan,3
1/22/15 0:00,2014,4,12,51,Jan,3
1/23/15 0:00,2014,4,12,51,Jan,3
1/24/15 0:00,2014,4,12,51,Jan,3
1/25/15 0:00,2014,4,12,52,Jan,4
1/26/15 0:00,2014,4,12,52,Jan,4
1/27/15 0:00,2014,4,12,52,Jan,4
1/28/15 0:00,2014,4,12,52,Jan,4
1/29/15 0:00,2014,4,12,52,Jan,4
1/30/15 0:00,2014,4,12,52,Jan,4
1/31/15 0:00,2014,4,12,52,Jan,4
2/1/15 0:00,2015,1,1,1,Feb,1
2/2/15 0:00,2015,1,1,1,Feb,1
